good observation ! he be very good at present fellatious viewpoint and lack of knowledge and content . he be one of the more fellatious people i know and you will not find him take notice of the constitution as the supreme law of the land either .	1
preganancy should not be use as a punitive measure against woman who be sexual . what you think be not reflective of the reality of woman and their cicumstances that exist in the world . the reason to abort be numerous and complicate . some reason be more valid than others . but you have no way of know that for million of woman , only they can really know . and although there be some youngster in this forum who negate life experience , it be not to be negate . ther be a lot to be say for `` walking in a mile in another ' s shoe `` . be careful about your desire to take the life circumstance of a stranger in your hand . be you ready to be morally cuplable for the damage you could do ?	0
that should get the native mill around look for victim . fundamentalist christianity do not take kindly to criticism .	1
then by that standard , christianity be horse puckey ! christian contradict each other . oh ! but wait . anyone who disagree with you be not `` really `` a christian .	1
like the crusade and the inquisition ? how about the southern baptist convention , form at the end of the civil war with the express purpose to discriminate against black ? and of course , the k and the aryan brotherhood make the same claim as you . of course , you be go to tell me that you be a christian and they be not . but when people tell me they be christian you be not always around so i just never turn my back on them . that way , even if they be follow that strange pull to make a bad decision , i will at least have my eye on my money .	1
plain with the benefit of hindsight . i love how you be able to determine , not have be there , precisely what be say and precisely where it fell in relation to the law . if it be so clear , we will see the prosecution for wrongful arrest in due course , i be sure .	1
she ? uh , you do not know me like that , miss thing . you be the one with more pudendum than the pointer sister . and i be not eat any attention . i be mildly amused . i have not see any evidence of your reputed prowess here . and why do not you ask the real monkey to dance ? somebody at home .	1
uh huh . you prefer to be leave alone so you can butcher all the unborn baby you want . besides engage in infanticide , do you know what ' s wrong with your liberal mentality ? you have slaughter a whole generation of future scientist , teacher , and taxpayer - the latter in sufficient number that they would have be able to fund your invasive obamacare in its entirety , along with other nanny - state entitlement program . turkey . you loser ought to be can and deport .	1
oh , look , remove a quote from its context . how about your address my textbook definition next ?	1
which , we suppose , in your mind release the sperm donor of any responsibility whatsoever , right ? be not it interest that your solution for the abortion issue demand that woman deny their sexuality while permit men to run the gamut of theirs . do this attitude , of which you be not the only proponent , stem from a hatred or a fear of woman ?	0
so when you be do math , you be an atheist ? of course not . just because there be overlap do not mean that the two view be identical .	0
manslaughter involve a direct action that cause an unintentional death . miscarriage be involuntary ; besides the person suffer a miscarriage might well want to keep the baby . to equate miscarriage with manslaughter be preposterous .	0
i do not see how this be not a debate about abortion . true , it ' s become mildly less concrete , but that ' s what happen when you try to get it right .	0
i do not think people have a right to kill themselves ( obviously not natural and obviously not legal right now ) . as for the other question , i would not think a blatent disregard for the others health be morally ok .	0
would not profess atheism cover that ? or be you look for something else ? i will call mine `` bertrand `` .	1
so which argument do you want to stick with / the one above that say the black vote be irrelevent or your previous argument in which you claim be significant . i will refresh your memory : :	1
you know , i hear that from my mom last week . my parent move to arkansas when my dad retire a few year back . mom think it be amuse and disgust that the state she move to would have vote in such an alarm manor yet take no measure to secure the marriage they already have . ironic indeed .	0
very true . logic exist whether people be there to grasp its concept or not . where we disagree be at your assumption that god create logic . how can this be ? logic be not contingent on any intelligent entity , whether it be man or god , to exist . the logic of increase a quantity by add to it would remain whether god exist or not . you have yet to tie the existence of logic to god as its cause	0
so if it be deem by ' those with the knowledge that give their opinion weight ' that a fetus can feel pain and stress during a termination you would agree that the termination should not be carry out . well do	1
really . if that ' s be `` save , `` i prefer to go down with the titanic .	1
how be that a affect of deterrence ? deterrence work by prevent people through the fear of consequence . a dead man have no fear . furman v . georgia , where the supreme court specifically note that there be not a single piece of conclusive evidence that the penalty be a effective deterrent .	0
do it really matter ? the heller decision leave the door wide open for most of the restriction that brady campaign favor . why should this case be any different ?	0
it be impossible to read something that can not be find .	1
no its federal property and fall under ar190 - 11 and other applicable regulation . if they live off post i believe so if they follow policy and regulation . if they live on post then the pow must be store in unit arm room and only draw out with the commander ' s permission .	0
lol , what do you mean by that ? i be not sure , and dont want to assume the tone you infer with . i think it be funny but want to clarify . p ; i have never call anyone a ' fetus worshiper ' , although at least that label do not elicit the same evil connotation ' pr - abortion do ' . @ simone , no worry hun happy 	0
whatever . first you say no one be call you a hypocrite , than you say people do it , but it just an attack tactic . if you ever get to a mental state where you can entertain the possibility that a critisism of you can be ground in reality , than go back to my post where i say `` this be why . `` and give it a read again . maybe you will learn somethig . till then . 	1
so why should you care about their non - scientific belief in a debate on science ? most people who believe in evolution do so because of science , so their non - scientific belief be irrelevant .	0
that be just conservative bias . conservative be just as guilty of the same thing as liberal and then each have their own ideological idiocy that be unique to each group . conservative like class and do not like change . a pure conservative society would fail just as quickly as a pure liberal one . the last 10 - 20 year as we have become more us vs . them the overall prosperity and well be of the country have decline . with both side take the country to extreme . conservative ease restriction and corporation run wild . those law be in place for a reason . liberal overreact and put a choke hold on growth . there be a reason for less restrictive law , but now they can not do anything meaningful .	0
be not that exactly what i say ! clearly we have an issue of a probably overweight white man who be without a doubt racist ( because if we know anything it be that every white male that have short hair be a racist ) come down on a black woman ! you nail it again ma ! prop to you for uncover this mystery .	1
the quality of life ethic be far different from sactity / dignity of life ethic . a quality of life ethic carry out to its logical conclusion do not promote a pro - life society . instead , there would be genocide against the handicapped , elderly , and people who people of power have deem life unworthy of life . the problem with this ethic be that it be center in arbritrary people decide arbritarily which person pass the `` quality of life `` test .	0
contradict what ? thank you for acknowledge that i know what i be talk about . i call it question . you call it wrangle because you have no coherent thought of your own .	1
' wow my life my life be already turn out well then yours ' what do you mean your life be turn out well ? you live with your parent . you have no responsibility , accomplishment , or qualification for anything as you be 15 . you be not even old enough to get a job , what be you talk about ? ah i see you be relate to jakej . i can not say i be surprise .	1
dear lisa , i want to tell you you be hot . hot as in every way possible . in fact , you should eat some peyote while you dance the tarantella . the way you smell like a goddess in heat make me want to email you and ask you if you would consider this proposition : if you will remove that top button i would have enough nerve to	0
wow , so everyone else be just wrong . no chance you could be ? i be willing to bet that you also disagree with many christian or they disagree with you at least .	1
you actually post something that make good sense , and be funny too , maybe there hope for you yet .	1
well , by the strict defintion of the word `` born `` , an abortion be consider a premature birth .	0
the anti - abortionist claim a load of * * * * on many issue . i do not listen to them . to put the `` life `` of an unfertilized egg above that of a person be grotesquely sick imo . i support any such stem cell research wholeheartedly .	0
do you have to have human organ to be consider a person ? who make this rule ? you ? what if you get lung remove . be you less of a person ? so around 8 week though you believe it be in fact a human ?	1
one should not assume ignorance on the part of creationists . that be a mistake that too many evolutionist make . in the real world , we have people willing to say thing they already know be not true . why should creationists be any different ? after all , they be people , too . but rather than accept that fact , evolutionists argue that creationists be ignorant of a subject when , in reality , they ( creationists ) be simply tell lie .	0
and where , pray tell , do your un - ' ignorant ' system of proper behaviour come from ?	1
sound like the brady law have stop a lot of criminal from obtain handgun .	0
well actually i have not see your point of view express anywhere but on these forum . seem to me if its rise to ascendancy at least one scientist somewhere would have recently at least mention it . quick search reveal no mention at all . of course if you say its displacing nd then i guess i will have to agree - you be a well know biologist and all , but i remain perhaps a bit irrationaly skeptical .	1
be you jealous because they will not let you out of the institution while gansao get ' s to run all over the place ?	1
you jsut do not get it . you act like two wolf and a sheep voting on what to have for lunch . you as a hetero get to go and get marry to the person of your choice but i do not . what part of that do you not understand . you say this be not personal and for you this be true but for me the man i love be nothing but a stranger to me in the eye of the law . how cruel can you be	1
it be bad then that they just do not get it . once you put some civil right on the ballot nothing be off limit . freedom of speech , religion , assembly ect . they be all up to be vote out of existence for an unpopular minority by the majority . they just do not get it .	0
but the number of criminal that have firearm can be reduce . in developed nation that have very strict gun law there be a lot less criminal obtain and use gun to commit crime . how do your theory explain that ?	0
that ' s be ridiculously poor logic . simply becuase the church make mistake do not mean it ' s incorrect in all other charge . the us government be way more corrupt than the catholic church , and yet we obey every god - damned thing big brother make us do .	0
well that ' s a stupid statement . stupid enough that i can not even wrap my head around it and make a proper comparison .	1
not true at all . hate crime legislation protect straight as well as gay . nothing ' special ' there . so you make a claim , but can provide no example to document the veracity of your claim . meh . what i expect . the ruling be garbage . ' ex - gay ' be supposedly straight , right ? so they be already protect under exist legislation . if we have a bunch of democrat who change to republicans , and then insist they should be know as ' ex - democrat ' , would we need another legal status for them ? no .	1
look like my first response to this be delete ? i will risk it again since this post be not delete . anyhoo , this post just wreaks of the emotional and psychological development , maturity , morality , character , and integrity of some republican / conservative . emoticonxrolleyes waxy	1
right on ! a real man support those he love , through thick and thin . he do not try and control the thing he can not either . in the end , it ' s not a man ' s decision . it be not his body , therefore , he have no right to make the ultimate decision . he can only express his view . that ' s about it . ( i be pretty sure it ' s not any easy for her to decide ) . so cudos to those men .	0
love v . pepersack again ? what you do not realize be love get her gun .	1
actually the majority of homosexual will tell you it ' s not a choice . and i , be the wacky gal i be , have a tendency to believe the word of homosexual on that particular subject over the word of straight neonazicons .	0
oh , how about the other state charge a special fee to inspect anything import from kalifornia ? seem like there be a little trade war go on over oj from florida and texas once and kalifornia lose . what do the constitution of the u . s . say about power prohibit to the state ? reckon kalifornia be bind by the u . s . constitution ? emoticonxagree	1
what exactly be the age range of these `` child `` in the news story ?	1
no i think you be the imbecile . and it ' s great to see you follow your buddy ez and his way . i suppose you have be train with him for some time now . you be almost identical twin . give it a bit more time and we will not be able to tell you apart .	1
