text	label
nor be there any need for some mythical molecular elemental , nebulas natural selection , or mystical transitionals base on peicemeal forensics and antithestic rhetoric .	1
lotsa gay animal out there , man . wonder what jaman ' s source be . he seem very perturb by homosexuality .	1
just help something live do not affect evolution unless it affect the ability to reproduce viable offspring . if there be no nylon before the 1 9 4 0 s and there be an organism that can survive by eat nothing else , what do that tell you ? there could not have be a population of nylon - eat bacteria before 1940 . this be a new population that do not exist before .	1
depends on the usage . generally , it just refers to the theory of evolution or a change in allele frequency in a population .	0
a slimey claim you can not support as usual . in developed nation , the u.s. be far down the list as have be post on this very board at least 5 time . those ' other ' nation also have far more crime and violent crime than the u.s .	0
and it seem that the only thing that repulse you be religion . curious . emoticonxrolleyes	1
oh yeah , but its okay to say that george bush be a criminal be it ? no one want to be fair then do they , let be fair only when a democrat get in trouble !	1
this be more of a legal question involve whether or not it be negligence ( sp ) . if so , you can not really sue for amount of money you might get in the future . he could sue for lost pay on the job and other medicial procedure . so ya know happy . i do not really know what the question be .	0
be you talk about this one ? he be talk about ' god ' . he never say your ' god ' . and i be both amused and bore by the fact that i just explain to you how evolution and a belief in a creator can co - exist , and you completely ignore it . but you be go to continue to claim that they be mutually exclusive , will not you . 	1
but you be forget life - without - parole ( and i do mean without parole ) . with life without parole , there be also no recidivism .	0
except , of course , the evidence be totally against that . plus , there be the little matter of infant mortality . and lack of resource . but hey , do not let common sense and evidence stop you .	1
lol . well why do not you use your brain and tell me how and why breast form then . why would they get select for in the first place ? n can not see into the future . have any evidence of a reptile with breast ?	1
i believe it be merely all know living specie against those know by the fossil record and extinct . there be undoubtedly more extinct specie that we be unaware of than living one .	0
so do i , but my reasoning be highly speculative , even by my own standard .	0
i be a little surprised by this . the poll i have see show that mass voter favor gay marriage . i would have think that get those who oppose it to put their opposition on the record before the election would be beneficial . then again , see as how the lie and fear mongering have already start , i can see how they might want to avoid have the election muddy with the inevitable dirty fighting that would be throw at them . not the most couragous stance , but perhaps safer in the long run . you be right that the long society fail to collapse the more inane the doomsayers seem .	0
actually , i believe it be a reagan policy continue by both bush .	0
wow . there be a real person under there . good luck on your recovery , chemist .	1
